date1_MJD,date2_MJD,date3_MJD,date4_MJD,dv1,dv2,dv3,dv4,dvLeg1,dvLeg2,dv234,dvTot,ToF,layover,astID
12363.5,12673.5,12733.5,12913.5,1.39097737946196,0.299170436874583,0.629422276583132,3.26817474140578,1.69014781633655,3.89759701798891,4.1967674548635,5.58774483432546,550,60,9076
12363.5,12673.5,12733.5,12918.5,1.39097737946196,0.299170436874583,0.557369753177091,3.25502512394371,1.69014781633655,3.8123948771208,4.11156531399538,5.50254269345735,555,60,9076
12363.5,12673.5,12733.5,12923.5,1.39097737946196,0.299170436874583,0.540685054269298,3.24657014849448,1.69014781633655,3.78725520276378,4.08642563963836,5.47740301910033,560,60,9076
12363.5,12673.5,12733.5,12928.5,1.39097737946196,0.299170436874583,0.543574977518478,3.23990310328716,1.69014781633655,3.78347808080564,4.08264851768022,5.47362589714218,565,60,9076
12363.5,12673.5,12733.5,12933.5,1.39097737946196,0.299170436874583,0.556376439279264,3.23424966385332,1.69014781633655,3.79062610313259,4.08979654000717,5.48077391946913,570,60,9076
12363.5,12673.5,12733.5,12938.5,1.39097737946196,0.299170436874583,0.575317888925571,3.22930779207257,1.69014781633655,3.80462568099814,4.10379611787272,5.49477349733469,575,60,9076
12363.5,12673.5,12733.5,12943.5,1.39097737946196,0.299170436874583,0.598438344662222,3.22492443432344,1.69014781633655,3.82336277898566,4.12253321586024,5.51351059532221,580,60,9076
12363.5,12673.5,12733.5,12948.5,1.39097737946196,0.299170436874583,0.624512585421085,3.22100603313228,1.69014781633655,3.84551861855337,4.14468905542795,5.53566643488991,585,60,9076
12363.5,12673.5,12733.5,12953.5,1.39097737946196,0.299170436874583,0.65270007924292,3.21748751480774,1.69014781633655,3.87018759405066,4.16935803092524,5.56033541038721,590,60,9076
12363.5,12673.5,12733.5,12958.5,1.39097737946196,0.299170436874583,0.682402157415201,3.21431963578001,1.69014781633655,3.89672179319521,4.19589223006979,5.58686960953176,595,60,9076
12363.5,12673.5,12733.5,12963.5,1.39097737946196,0.299170436874583,0.71318953905385,3.21146310776481,1.69014781633655,3.92465264681866,4.22382308369325,5.61480046315521,600,60,9076
12363.5,12673.5,12733.5,12968.5,1.39097737946196,0.299170436874583,0.744758497277394,3.20888556067001,1.69014781633655,3.9536440579474,4.25281449482198,5.64379187428395,605,60,9076
12363.5,12673.5,12733.5,12973.5,1.39097737946196,0.299170436874583,0.776901458386421,3.20655982449575,1.69014781633655,3.98346128288217,4.28263171975675,5.67360909921872,610,60,9076
12363.5,12673.5,12738.5,12918.5,1.39097737946196,0.299170436874583,0.613236427124273,3.25791584241478,1.69014781633655,3.87115226953906,4.17032270641364,5.5613000858756,555,65,9076
12363.5,12673.5,12738.5,12923.5,1.39097737946196,0.299170436874583,0.570924968014484,3.24712442846604,1.69014781633655,3.81804939648053,4.11721983335511,5.50819721281707,560,65,9076
12363.5,12673.5,12738.5,12928.5,1.39097737946196,0.299170436874583,0.563341803809662,3.23968641920893,1.69014781633655,3.80302822301859,4.10219865989318,5.49317603935514,565,65,9076
12363.5,12673.5,12738.5,12933.5,1.39097737946196,0.299170436874583,0.567875366442863,3.23361849976184,1.69014781633655,3.80149386620471,4.10066430307929,5.49164168254125,570,65,9076
12363.5,12673.5,12738.5,12938.5,1.39097737946196,0.299170436874583,0.579011409207013,3.22838572688542,1.69014781633655,3.80739713609243,4.10656757296701,5.49754495242898,575,65,9076
12363.5,12673.5,12738.5,12943.5,1.39097737946196,0.299170436874583,0.59461412937593,3.223770664057,1.69014781633655,3.81838479343293,4.11755523030751,5.50853260976948,580,65,9076
12363.5,12673.5,12738.5,12948.5,1.39097737946196,0.299170436874583,0.613493956839224,3.21965653391962,1.69014781633655,3.83315049075884,4.13232092763343,5.52329830709539,585,65,9076
12363.5,12673.5,12738.5,12953.5,1.39097737946196,0.299170436874583,0.634833541607335,3.2159675753675,1.69014781633655,3.85080111697484,4.14997155384942,5.54094893331138,590,65,9076
12363.5,12673.5,12738.5,12958.5,1.39097737946196,0.299170436874583,0.65802004550919,3.21264835530325,1.69014781633655,3.87066840081244,4.16983883768702,5.56081621714899,595,65,9076
12363.5,12673.5,12738.5,12963.5,1.39097737946196,0.299170436874583,0.682582468369992,3.20965524954106,1.69014781633655,3.89223771791106,4.19140815478564,5.5823855342476,600,65,9076
12363.5,12673.5,12738.5,12968.5,1.39097737946196,0.299170436874583,0.708159695388975,3.20695241101273,1.69014781633655,3.9151121064017,4.21428254327628,5.60525992273825,605,65,9076
12363.5,12673.5,12738.5,12973.5,1.39097737946196,0.299170436874583,0.734479239374177,3.20450962129367,1.69014781633655,3.93898886066784,4.23815929754242,5.62913667700439,610,65,9076
12363.5,12673.5,12738.5,12978.5,1.39097737946196,0.299170436874583,0.761341068168697,3.20230102358472,1.69014781633655,3.96364209175342,4.262812528628,5.65378990808996,615,65,9076
12363.5,12673.5,12738.5,12983.5,1.39097737946196,0.299170436874583,0.788604862699651,3.20030431110263,1.69014781633655,3.98890917380229,4.28807961067687,5.67905699013883,620,65,9076
12363.5,12673.5,12743.5,12918.5,1.39097737946196,0.299170436874583,0.758721184046725,3.26924800539886,1.69014781633655,4.02796918944559,4.32713962632017,5.71811700578214,555,70,9076
12363.5,12673.5,12743.5,12923.5,1.39097737946196,0.299170436874583,0.616192389245745,3.24864464995493,1.69014781633655,3.86483703920067,4.16400747607526,5.55498485553722,560,70,9076
12363.5,12673.5,12743.5,12928.5,1.39097737946196,0.299170436874583,0.596072177924216,3.23990752927579,1.69014781633655,3.8359797072,4.13515014407459,5.52612752353655,565,70,9076
12363.5,12673.5,12743.5,12933.5,1.39097737946196,0.299170436874583,0.593221054037375,3.23337437380346,1.69014781633655,3.82659542784083,4.12576586471542,5.51674324417738,570,70,9076
12363.5,12673.5,12743.5,12938.5,1.39097737946196,0.299170436874583,0.597000728792037,3.22785639736296,1.69014781633655,3.824857126155,4.12402756302958,5.51500494249155,575,70,9076
12363.5,12673.5,12743.5,12943.5,1.39097737946196,0.299170436874583,0.605097277180122,3.22302122350684,1.69014781633655,3.82811850068696,4.12728893756154,5.5182663170235,580,70,9076
12363.5,12673.5,12743.5,12948.5,1.39097737946196,0.299170436874583,0.616534435994021,3.21872255635733,1.69014781633655,3.83525699235135,4.13442742922593,5.5254048086879,585,70,9076
12363.5,12673.5,12743.5,12953.5,1.39097737946196,0.299170436874583,0.630650904851007,3.21487415226695,1.69014781633655,3.84552505711796,4.14469549399254,5.53567287345451,590,70,9076
12363.5,12673.5,12743.5,12958.5,1.39097737946196,0.299170436874583,0.646908571365215,3.21141535144698,1.69014781633655,3.8583239228122,4.15749435968678,5.54847173914875,595,70,9076
12363.5,12673.5,12743.5,12963.5,1.39097737946196,0.299170436874583,0.66485325799987,3.20829903547271,1.69014781633655,3.87315229347258,4.17232273034716,5.56330010980913,600,70,9076
12363.5,12673.5,12743.5,12968.5,1.39097737946196,0.299170436874583,0.684104783589347,3.20548655532538,1.69014781633655,3.88959133891473,4.18876177578931,5.57973915525127,605,70,9076
12363.5,12673.5,12743.5,12973.5,1.39097737946196,0.299170436874583,0.704350958848253,3.20294523360722,1.69014781633655,3.90729619245547,4.20646662933005,5.59744400879202,610,70,9076
12363.5,12673.5,12743.5,12978.5,1.39097737946196,0.299170436874583,0.725340935131481,3.20064695729092,1.69014781633655,3.9259878924224,4.22515832929699,5.61613570875895,615,70,9076
